supplierID,name,email
1,"Haynes, Edwards and Mills",reneehughes@example.org
2,"Foster, Thomas and Strong",dmejia@example.com
3,Bradford-White,diazmegan@example.com
4,"Knapp, Freeman and Ramirez",morenoashley@example.com
5,"Arnold, Russell and Castro",hlee@example.org
6,Giles PLC,patricia66@example.com
7,"Davis, Snow and Kaiser",anthonydeleon@example.net
8,Rogers Inc,dpena@example.org
9,Snyder Inc,richardcunningham@example.com
10,King PLC,vsantiago@example.org
11,"Mcclure, Morrison and Riley",natashacook@example.com
12,Suarez PLC,meganstout@example.org
13,Gallegos-Alvarez,smithchristopher@example.net
14,Hubbard-Washington,judithwolfe@example.net
15,Ho Inc,christy24@example.com
16,"Compton, Whitney and Mcmillan",julie30@example.org
17,"Johnson, Miller and Cole",williamhorne@example.com
18,Jones-Benson,wball@example.org
19,Arellano-Pearson,nmcdowell@example.com
20,"Scott, Eaton and Powers",cray@example.net
21,Valenzuela-Clark,lisabrown@example.net
22,Bell-Craig,petersongabrielle@example.org
23,Martin-Dawson,tonypowell@example.org
24,Archer LLC,davidgibson@example.org
25,Perez and Sons,bbaker@example.org
26,Kelly and Sons,chadwright@example.org
27,Burns-Rodriguez,mitchellvalerie@example.com
28,Duncan-Taylor,nicolecardenas@example.net
29,"Hopkins, French and Torres",uterry@example.com
30,"Collier, Miller and Brown",johnsonmary@example.com
31,Wilson-Jones,jeremy26@example.com
32,Hudson-Steele,hhunter@example.net
33,Montes PLC,turnerrichard@example.net
34,Smith LLC,ronnie71@example.com
35,Riley LLC,alexander94@example.org
36,"Jimenez, Taylor and Newton",tommyrodriguez@example.com
37,"Wyatt, Brown and Luna",kelly45@example.net
38,Mccall and Sons,escobarbrandon@example.com
39,Williams-Lee,omarrodriguez@example.org
40,Gray LLC,theresasmith@example.org
41,Bonilla Group,nataliehampton@example.net
42,"Vincent, Harris and Boone",robert37@example.org
43,Mullins Inc,sara74@example.net
44,Combs Group,nathan18@example.net
45,Kane-Branch,xclark@example.com
46,Thomas-Baker,michael82@example.net
47,"Powers, Bennett and Wells",craigkelly@example.com
48,Murphy-Smith,flynnmarcus@example.net
49,Perez-Mathews,corey10@example.net
50,Mccoy and Sons,hancockjessica@example.net
